tick,pop,avg_dist_to_food,agents_at_food
851,200,56.1,0
852,200,56.1,0
853,200,56.1,0
854,200,56.1,0
855,200,56.1,0
856,200,56.2,0
857,199,56.1,0
858,200,56.3,0
859,200,56.3,0
860,200,56.3,0
861,200,56.3,0
862,200,56.3,0
863,200,56.3,0
864,200,56.3,0
865,199,56.5,0
866,200,56.5,0
867,200,56.5,0
868,200,56.5,0
869,200,56.5,0
870,200,56.5,0
871,200,56.5,0
872,199,56.5,0
873,199,56.5,0
874,199,56.7,0
875,200,56.7,0
876,200,56.7,0
877,200,56.7,0
878,200,56.7,0
879,200,56.7,0
880,200,56.7,0
881,200,56.7,0
882,200,56.7,0
883,200,56.7,0
884,200,56.7,0
885,200,56.7,0
886,200,56.7,0
887,200,56.7,0
888,200,56.7,0
889,200,56.7,0
890,200,56.7,0
891,200,56.7,0
892,200,56.7,0
893,200,56.7,0
894,200,56.7,0
895,200,56.7,0
896,198,56.6,0
897,200,56.2,0
898,200,56.2,0
899,200,56.2,0
900,200,56.2,0
901,199,56.1,0
902,200,56.1,0
903,200,56.1,0
904,199,56.1,0
905,200,56.2,0
906,200,56.2,0
907,199,56.1,0
908,200,56.3,0
909,200,56.3,0
910,200,56.3,0
911,200,56.3,0
912,200,56.3,0
913,200,56.3,0
914,200,56.3,0
915,200,56.3,0
916,199,56.3,0
917,200,56.5,0
918,200,56.5,0
919,200,56.5,0
920,200,56.5,0
921,200,56.5,0
922,200,56.5,0
923,200,56.5,0
924,200,56.5,0
925,200,56.5,0
926,200,56.5,0
927,200,56.5,0
928,200,56.5,0
929,200,56.5,0
930,200,56.5,0
931,200,56.5,0
932,200,56.5,0
933,200,56.5,0
934,200,56.5,0
935,200,56.5,0
936,200,56.5,0
937,200,56.5,0
938,200,56.5,0
939,200,56.5,0
940,200,56.5,0
941,200,56.5,0
942,200,56.5,0
943,200,56.5,0
944,200,56.5,0
945,200,56.5,0
946,200,56.5,0
947,200,56.5,0
948,200,56.5,0
949,200,56.5,0
950,200,56.5,0
951,200,56.5,0
952,200,56.5,0
953,199,56.6,0
954,200,56.6,0
955,200,56.6,0
956,199,56.7,0
957,200,56.8,0
958,200,56.8,0
959,200,56.8,0
960,200,56.8,0
961,199,57.0,0
962,200,57.0,0
963,199,57.1,0
964,200,57.1,0
965,200,57.1,0
966,200,57.1,0
967,200,57.1,0
968,200,57.1,0
969,200,57.1,0
970,200,57.1,0
971,200,57.1,0
972,200,57.1,0
973,200,57.1,0
974,199,57.3,0
975,200,57.3,0
976,200,57.3,0
977,200,57.3,0
978,200,57.3,0
979,200,57.3,0
980,200,57.3,0
981,199,57.5,0
982,199,57.4,0
983,200,57.2,0
984,200,57.2,0
985,200,57.2,0
986,200,57.2,0
987,200,57.2,0
988,200,57.2,0
989,200,57.2,0
990,200,57.2,0
991,200,57.2,0
992,200,57.2,0
993,200,57.2,0
994,200,57.2,0
995,200,57.2,0
996,200,57.2,0
997,200,57.2,0
998,200,57.2,0
999,199,57.2,0
1000,200,57.0,0
1001,200,57.0,0
1002,200,57.0,0
1003,199,57.1,0
1004,200,57.0,0
1005,199,56.9,0
1006,199,56.8,0
1007,200,57.1,0
1008,200,57.0,0
1009,200,57.0,0
1010,200,57.0,0
1011,200,57.0,0
1012,200,57.0,0
1013,200,57.0,0
1014,200,57.0,0
1015,198,56.9,0
1016,200,56.8,0
1017,200,56.8,0
1018,200,56.8,0
1019,199,56.8,0
1020,200,56.9,0
1021,200,56.9,0
1022,200,56.9,0
1023,200,56.9,0
1024,200,56.9,0
1025,200,56.9,0
1026,200,56.9,0
1027,200,56.9,0
1028,200,57.0,0
1029,200,57.0,0
1030,200,57.0,0
1031,200,56.9,0
1032,200,56.9,0
1033,200,56.9,0
1034,200,56.9,0
1035,200,56.9,0
1036,200,56.9,0
1037,200,56.9,0
1038,200,56.9,0
1039,200,56.9,0
1040,199,56.7,0
1041,200,56.7,0
1042,200,56.7,0
1043,200,56.7,0
1044,200,56.7,0
1045,200,56.7,0
1046,200,56.7,0
1047,200,56.7,0
1048,200,56.7,0
1049,200,56.7,0
1050,200,56.7,0
1051,200,56.7,0
1052,200,56.7,0
1053,200,56.7,0
1054,199,56.9,0
1055,200,57.0,0
1056,200,57.0,0
1057,200,57.0,0
1058,200,57.0,0
1059,199,56.9,0
1060,200,56.9,0
1061,200,56.9,0
1062,200,56.9,0
1063,200,56.9,0
1064,200,56.9,0
1065,200,56.9,0
1066,200,56.9,0
1067,200,56.9,0
1068,200,56.9,0
1069,200,56.9,0
1070,200,56.9,0
1071,199,57.1,0
1072,200,57.0,0
1073,200,57.0,0
1074,200,56.9,0
1075,200,57.0,0
1076,199,56.9,0
1077,200,56.7,0
1078,200,56.7,0
1079,200,56.7,0
1080,200,56.7,0
1081,200,56.7,0
1082,200,56.7,0
1083,200,56.7,0
1084,200,56.7,0
1085,200,56.7,0
1086,200,56.7,0
1087,199,56.7,0
1088,200,56.5,0
1089,200,56.5,0
1090,200,56.5,0
1091,200,56.5,0
1092,200,56.5,0
1093,199,56.4,0
1094,200,56.7,0
1095,200,56.7,0
1096,200,56.7,0
1097,200,56.7,0
1098,200,56.7,0
1099,200,56.7,0
1100,200,56.7,0
1101,200,56.7,0
1102,200,56.7,0
1103,200,56.7,0
1104,200,56.7,0
1105,200,56.7,0
1106,200,56.7,0
1107,200,56.7,0
1108,200,56.7,0
1109,200,56.7,0
1110,200,56.7,0
1111,200,56.7,0
1112,200,56.7,0
1113,200,56.7,0
1114,200,56.7,0
1115,200,56.7,0
1116,200,56.7,0
1117,200,56.7,0
1118,200,56.7,0
1119,200,56.7,0
1120,200,56.7,0
1121,200,56.7,0
1122,199,56.7,0
1123,200,56.8,0
1124,200,56.8,0
1125,200,56.8,0
1126,200,56.8,0
1127,200,56.8,0
1128,200,56.8,0
1129,200,56.8,0
1130,199,56.7,0
1131,200,56.7,0
1132,198,56.7,0
1133,200,56.6,0
1134,200,56.6,0
1135,200,56.6,0
1136,200,56.6,0
1137,200,56.6,0
1138,199,56.5,0
1139,200,56.7,0
1140,198,56.6,0
1141,200,56.5,0
1142,199,56.5,0
1143,200,56.6,0
1144,200,56.6,0
1145,200,56.6,0
1146,200,56.6,0
1147,200,56.6,0
1148,200,56.6,0
1149,200,56.6,0
1150,199,56.7,0
1151,200,56.4,1
1152,200,56.4,1
1153,200,56.4,1
1154,199,56.6,1
1155,200,56.4,1
1156,200,56.4,1
1157,199,56.5,1
1158,200,56.2,1
1159,200,56.2,1
1160,200,56.2,1
1161,200,56.2,1
1162,199,56.4,1
1163,199,56.6,1
1164,200,56.9,1
1165,200,56.9,1
1166,200,56.9,1
1167,200,56.9,1
1168,200,56.9,1
1169,200,56.9,1
1170,200,56.9,1
1171,199,57.1,1
1172,200,57.1,1
1173,200,57.1,1
1174,200,57.1,1
