tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
417,10,25,18,555.0970816976752,327.63436715069724
418,10,25,18,549.3456714794954,329.9221626925839
419,10,25,18,543.63135613731,328.9386303060287
420,10,25,16,537.9540541305695,327.3541139714438
421,10,25,15,532.3136823796028,325.9881445569527
422,10,25,15,527.2101562851318,327.12983436896644
423,10,25,17,522.1391597477724,327.6922222549861
424,10,25,16,517.1006210579241,328.5366699164981
425,10,25,17,512.0944671637444,327.4020136777798
426,10,25,16,507.12062368832215,326.6242670848411
427,10,25,15,501.6790149468366,326.17812343867627
428,10,25,16,496.2738439637045,327.691282327506
429,10,24,16,490.9050157673087,327.4794867288405
430,10,24,15,501.57243401652266,326.7641341983529
431,10,24,15,494.138081020113,326.36325065153716
432,10,25,13,506.757929384912,327.27110533912065
433,10,25,15,501.25860710125147,328.04957230064383
434,10,25,15,495.7968837764254,326.58020281013
435,10,24,16,488.3726522723833,327.26479305242196
436,10,25,16,501.00324412938085,327.1324092899637
437,10,25,15,495.5136771605029,327.5622880564705
438,10,25,16,508.06217873338966,326.9029239094977
439,10,25,16,502.49059418892324,327.7685400060572
440,10,25,16,496.9578783448735,327.7094902605196
441,10,25,16,509.4639112426845,327.4067655808028
442,10,25,16,503.84945165211195,326.26258404221085
443,10,25,16,498.274546895287,326.0571698179976
444,10,25,17,492.7390703036697,326.51952441171335
445,10,24,16,487.7428939627798,325.4318251282603
446,10,24,18,536.2814287334446,325.31201375102773
447,10,24,17,528.3762741453804,324.55143902899647
448,10,25,14,541.0312241138505,323.9842065300643
449,10,25,14,553.061965106121,324.7301858851497
450,10,25,15,546.9736088049787,324.08426619052034
451,10,25,15,540.9291082383705,322.92719811844245
452,10,25,16,534.9283104847084,323.33254254422616
453,10,25,17,529.9710613765297,324.2354158876295
454,10,24,17,523.0481255240437,324.7513647331411
455,10,25,16,536.1775889665877,324.1427469886768
456,10,25,14,530.1768507400252,324.15468078204105
457,10,24,16,522.2202357090741,324.55714058498893
458,10,25,14,552.3258997347918,324.07283448772483
459,10,25,15,564.6447493600392,323.4002764472139
460,10,25,14,576.3392190507396,323.80360610767656
461,10,25,16,587.9145728359046,323.6665430297429
462,10,25,16,581.8714435677136,322.9686284784016
463,10,25,17,575.8725153850894,325.3441210053564
464,10,25,16,569.4176198271285,325.81265973760037
465,10,24,15,562.011237347549,323.89755460738814
466,10,24,14,555.6624940002827,324.32257291747663
467,10,25,15,567.3618076911328,324.76212014070575
468,10,25,15,560.9405025559565,323.688058560809
469,10,25,17,554.5680820267944,323.7971357054864
470,10,25,16,548.7443434405553,323.40044831293005
471,10,25,16,542.9643731101581,324.4608364310373
472,10,25,15,536.727990812811,323.47557292232295
473,10,24,15,528.5397454045346,322.95671078790065
474,10,25,15,540.4183900029124,322.3476943196023
475,10,25,16,534.6736166826975,324.20391711391875
476,10,24,15,546.472725236691,324.0728977885775
477,10,25,15,594.1485768227458,322.80322596423184
478,10,25,14,588.357717813133,322.5806727297674
479,10,25,14,581.610452261296,323.14749905558057
480,10,25,15,574.9161933044004,323.1193862024961
481,8,25,13,586.7747009096248,320.81005144943197
482,9,25,15,580.0073941776689,321.9872457339705
483,10,25,12,573.7937241347254,321.76052761285655
484,8,25,14,567.628602269914,322.68314348266523
485,8,25,14,579.0118062127086,322.33940146286164
486,8,25,13,572.2730128411339,321.6531462758042
487,8,25,13,566.088275080874,321.71096075698694
488,8,25,14,559.9524549008975,321.3742011339527
489,8,25,12,553.3653212767795,320.83483649961323
490,8,25,11,546.8315425130799,320.94817467834764
491,8,25,15,576.8508581504142,320.20591381466943
492,7,25,14,570.0638470910269,319.9255591015917
493,6,25,14,563.8322189435221,321.4936234888197
494,7,25,14,558.650758005173,321.19074578341497
495,6,25,13,553.0093168857345,322.10332049734825
496,7,25,15,546.9126658470408,321.63058880739345
497,5,25,14,540.365555333334,321.06586591277335
498,5,25,14,533.8727157870268,321.71064922511647
499,6,25,14,527.933867468285,322.70345659461793
500,6,25,14,540.043730178415,322.31397787309817
501,6,25,14,533.5216933868401,322.62874266665114
502,7,25,14,527.5543369700489,322.88115316840464
503,6,25,15,521.136341724943,322.1491874204565
504,6,25,15,514.7724887851684,321.12400509482
505,6,25,14,508.46248803325096,321.7979745956341
506,7,25,15,503.2060490391673,321.7222395392869
507,6,25,15,496.9927410867229,321.86080988629294
508,7,25,16,490.83249622209456,321.86321678816125
509,6,25,15,484.72502279536644,321.50262403536163
510,7,25,14,479.1700289476665,320.05360754961447
511,7,25,16,491.6621126366341,321.4398145527757
512,6,25,13,521.5166939880478,321.06325632893953
513,7,25,13,534.0551340925432,320.56192828495006
514,7,25,13,527.4542486988846,318.8186630993618
515,5,25,13,520.9106713220989,319.51219637253473
516,5,25,15,532.4240745788676,321.0328263929805
517,7,25,14,525.808011032535,319.5507976454601
